C10	71.19	10.92	270.00		C0805
C11	50.49	10.21	270.00		C0805
C12	74.47	20.58	270.00	27pF	C0603
C13	59.72	17.61	270.00	27pF	C0603
C14	95.99	28.88	180.00	27pF	C0603
C15	95.74	25.73	180.00	27pF	C0603
C16	101.37	9.27	180.00	33pF	C0603K
C3	86.37	13.90	270.00		C0805
C5	83.84	13.85	270.00		C0805
C6	90.68	25.65	0.00		C0805
C7	24.48	8.93	270.00	0.1uF	C0805
C8	61.00	10.05	270.00		C0805
C9	73.23	10.90	90.00		C0805
CR1	65.69	22.60	180.00	9C-6.000MAAJ-T	CRYSTAL_TXC_9C_TXC
D1	95.81	33.61	0.00	RED	LED-1206
D2	87.19	33.64	0.00	GREEN	LED-1206
D3	78.19	33.55	0.00	BLUE	LED-1206
D4	94.11	31.62	180.00	Yellow	LED-0603
J1[SIMCARD]	96.94	17.44	0.00	78646-3001	MOLEX_78646-3001
J2	101.79	29.25	312.70	U.FL-R-SMT-1(01)	CONN_-SMT-1(01)
J3	104.23	5.08	227.10	U.FL-R-SMT-1(01)	CONN_-SMT-1(01)
L1	104.55	9.25	180.00	47nH	C1608
R1	73.86	33.55	180.00	330	0805
R10	82.10	10.37	0.00	 	0805
R11	64.99	10.00	270.00	47k	0603
R12	63.34	10.02	270.00	4.7k	0603
R13	12.90	16.25	0.00	15k	0805
R14	87.04	9.38	0.00	 	0805
R15	12.87	13.31	0.00	15k	0805
R16	95.02	9.37	0.00	 	0805
R17	53.78	10.20	90.00	4.7k	0603
R18	55.43	10.20	90.00	47k	0603
R19	15.96	24.18	90.00	27	0805
R2	82.95	33.66	180.00	330	0805
R20	15.93	20.83	90.00	27	0805
R21	15.88	17.20	270.00	 	0805
R22	15.83	13.64	270.00	 	0805
R23	13.10	22.31	0.00	15k	0805
R24	12.95	19.29	0.00	15k	0805
R25	44.73	10.79	180.00	1.5k	0805
R26	98.59	27.04	270.00	0	0603
R27	101.25	25.87	180.00	0	0603
R28	97.28	31.62	0.00	330	0603
R29	22.00	24.71	270.00	4700	0805
R3	91.70	33.73	180.00	330	0805
R30	19.96	24.71	270.00	4700	0805
R31	20.19	9.22	90.00	4700	0805
R32	17.86	9.19	90.00	4700	0805
R7	42.75	16.29	0.00	27	0805
R8	42.67	18.18	0.00	27	0805
R9	61.82	17.69	90.00	1.5k	0603
SJ1	35.31	10.39	180.00		SJ
SW1	82.02	5.08	90.00		PUSHBUTTON_SMD_SJ
SW2	90.28	5.03	90.00		PUSHBUTTON_SMD_SJ
SW3	98.16	5.10	90.00		PUSHBUTTON_SMD_SJ
T1	58.09	10.32	0.00	BCX70SMD	SOT23
T2	67.69	10.26	0.00	BCX70SMD	SOT23
U$1	84.77	23.78	0.00	MSQA6V1W5T2G	SOT-23-5_M5
U3	74.90	6.48	180.00	MAX3373EEKA+T	21-0078H
