"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BUILT_BY";"CENTERLINE_PITCH";"COMMENT";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DIGI-KEY_PART_NUMBER";"DIGI-KEY_PURCHASE_URL";"EU_ROHS_COMPLIANCE";"MANUFACTURER";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"NUMBER_OF_POSITIONS";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PRODUCT_TYPE";"PROD_ID";"SOURCELIBRARY";"SPICEPREFIX";"TE_PURCHASE_URL";"TP_SIGNAL_NAME";"VALUE";"VENDOR";
"BTN2";"PTS636SM25F";"PTS636SM25F";"SW2_PTS636_SM25F_SMTR_LFS_CNK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BTN3";"PTS636SM25F";"PTS636SM25F";"SW2_PTS636_SM25F_SMTR_LFS_CNK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"100uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C2";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C3";"330uF";"C-USC1210";"C1210";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"C";"";"";"";"";
"C4";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C5";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C6";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C7";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C8";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C9";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C10";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C11";".1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"C12";"27pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"C";"";"";"";"";
"C13";"27pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"C";"";"";"";"";
"C14";"27pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"C";"";"";"";"";
"C15";"27pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"C";"";"";"";"";
"C16";"33pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"30";"";"";"";"";"C";"";"";"";"";
"C17";"3uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"";"";"C";"";"";"";"";
"CR1";"9C-6.000MAAJ-T";"9C-6.000MAAJ-T";"CRYSTAL_TXC_9C_TXC";"";"";"EMA_UL_Team";"";"";"";"";"";"";"";"";"";"9C-6.000MAAJ-T";"";"";"";"";"";"";"";"";"";"";"";"TXC_2011-01-01_CRYSTAL_9C";"";"";"";"";"TXC";
"CR2";"ESDA6V1-5SC6SOT23-6L_STM-M";"ESDA6V1-5SC6SOT23-6L_STM-M";"SOT23-6L_STM-M";"";"";"EMA_UL_Team";"";"";"";"";"";"";"";"";"";"ESDA6V1-5SC6";"";"";"";"";"";"";"";"";"";"";"";"Update_database_2020-10-15";"";"";"";"";"STMicroelectronics";
"D1";"RED";"LED-RED1206";"LED-1206";"Red SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09912";"";"";"";"";"RED";"";
"D2";"GREEN";"LED-GREEN1206";"LED-1206";"Green SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-00862";"";"";"";"";"GREEN";"";
"D3";"BLUE";"LED-BLUE1206";"LED-1206";"Blue SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09911";"";"";"";"";"BLUE";"";
"D4";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09003";"";"";"";"";"Yellow";"";
"D5";"Yellow";"LED-YELLOW0603";"LED-0603";"Yellow SMD LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-09003";"";"";"";"";"Yellow";"";
"GROVE1";"640456-4";"640456-4";"TE_640456-4";"220P MTA100 HDR ASSY SQ SPCL";"";"";"2.54 mm[.1 in]";"640456-4";"";"";" Header, Friction Lock";" MTA-100";" 4";" 250 VAC";" Polyester";" Tin";" Copper Alloy";" Tin ";"A1922-ND";"https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/640456-4/A1922-ND/109006?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"Compliant";"";"";"TE Connectivity";"640456-4";"";"4";"";"";"None";"";"";"Connector";
"GROVE2";"640456-4";"640456-4";"TE_640456-4";"220P MTA100 HDR ASSY SQ SPCL";"";"";"2.54 mm[.1 in]";"640456-4";"";"";" Header, Friction Lock";" MTA-100";" 4";" 250 VAC";" Polyester";" Tin";" Copper Alloy";" Tin ";"A1922-ND";"https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/640456-4/A1922-ND/109006?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol";"Compliant";"";"";"TE Connectivity";"640456-4";"";"4";"";"";"None";"";"";"Connector";
"J1";"AU-Y1008-2";"AU-Y1008-2";"CONN_AU-Y1008-2_ASM";"";"";"EMA_Cory";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"http://www.assmann-wsw.com/fileadmin/datasheets/ASS_5780_CO.pdf";"";"";"";"";"";"AU-Y1008-2";"";"";"";"";"";"";"";"";"";"";"";"Assmann_2020-03-30";"";"";"";"";"Assmann";
"J2";"U.FL-R-SMT-1(01)";"U.FL-R-SMT-1(01)";"CONN_-SMT-1(01)";"";"";"EMA_Matt";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"";"";"";"";"";"";"";"";"Hirose_12_20_2019";"";"";"";"";"Hirose";
"J3";"U.FL-R-SMT-1(01)";"U.FL-R-SMT-1(01)";"CONN_-SMT-1(01)";"";"";"EMA_Matt";"";"";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"";"";"";"";"";"";"U.FL-R-SMT-1(01)";"";"";"";"";"";"";"";"";"";"";"";"Hirose_12_20_2019";"";"";"";"";"Hirose";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"JP4";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"JP5";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"JP6";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP7";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP8";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";
"JP9";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"JP10";"";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64";"";"";"";"";"";"";"";"";"";
"L1";"47nH";"C-EUC1608";"C1608";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"C";"";"";"";"";
"POWER_SUPPLY";"MIC29302WU";"MIC29302WU";"TO263-5";"";"Unavailable";"";"";"";"";"";" Linear Voltage Regulator IC 1 Output 3A TO-263-5  ";"";"";"";"";"";"Microchip Technology";"MIC29302WU";"";"";"";"";"TO-263-6 Microchip Technology";"";"None";"";"";"";"";"";"";"";"";
"R1";"60.4";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R2";"180";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R3";"180";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"R4";"47k";"RESISTOR0805";"0805";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
